#    si        0.080         0.04    -      -
#    mn        ----          0.01    -      -
#    rest      0.04 max      0.10    -      -



#    s-200 :
#    v0 = 0.5385 cc/g         cl= 12.916 km/sec        c0= 7.87 km/sec
#                             cs=  8.86  km/sec
#    i-400 :
#    v0 = 0.5316 cc/g         cl= 12.83  km/sec        c0= 7.83 km/sec
#                             cs=  8.80  km/sec
#    v0i= 0.5421 cc/g

#    the table lists rho0 in g/cc, velocities in km/sec and p in kbars.
#    fs= fansteel, cu= copper and wf= weighting factor.

#                                 table

#       - - - - - - - - sample - - - - - - - - -   - - impactor - -

#        mat  rho0     Us     Up      P    v/v0    mat    u     wf

        s-200 1.851   9.965  1.631   302.  .8363    fs  2.205   3
          -   1.851  10.266  1.903   363.  .8147    cu  2.695   3
          -   1.851  11.779  3.459   757.  .7063    fs  4.330   3
          -   1.851  12.218  3.990   905.  .6734    cu  5.596   1
          -   1.851  13.034  4.792  1160.  .6324    fs  7.734   3
          -   1.851  13.970  5.678  1473.  .5936    cu  7.945   3
          -   1.851  14.324  6.139  1633.  .5714    fs  7.734   1
        i-400 1.881  10.981  2.549   526.  .7679    fs  3.191   0

#           Us = 8.390 + 0.975*Up km/sec
#           sig.Us = 0.017 km/sec

#    comments:

#    1) source: isbell w.m., shipman f.h. and jones a.h.
#               hugoniot equation of state of eleven materials to five mbars.
#               materials science laboratory report: msl-68-13
#    2) experimental technique: a
#       data reduction method : a
#    3) nominal uncertainties are: (sig.us)/Us = .005 and (sig.u)/u = .005
#    4) also listed: poissons ratio: 0.055; ultimate tensile strength:
#       3.98 kbar (s-200); 4.60 kbar (i-400); yield strength: 2.58 kbar
#       (s-200); 3.86 kbar (i-400)
#    5) v0i obtained from wyckoff crystal structures
#       (john wiley and sons, n.y. 1963) vol.1



#    92---5
#    beryllium

#    be             comment 5
#    o                -     -



#    v0 = 0.5402 cc/g   cl = 13.18 km/sec   c0 = 8.14 km/sec
#    v0i = 0.5421 cc/g  cs = 8.98 km/sec    cb = 7.93 km/sec


#    in the table below, velocities are given in km/sec, pressure in kilobars
#    and density in g/cc.

#                                     table

#       ----------------sample-------------------       -----standard-----

#        Rho0       Us       Up       P       V/Vo        material us(st)

#        1.850     8.99     0.34     57.     0.9622       cu        4.31
#        1.850     8.58     0.48     76.     0.9441       2024 al   5.96
#        1.850     8.67     0.49     79.     0.9435       2024 al   5.98
#        1.850     8.60     0.50     80.     0.9419       2024 al   5.98
#        1.850     8.59     0.50     79.     0.9418       2024 al   5.98
#        1.850     8.78     0.68    110.     0.9226       2024 al   6.22
#        1.851     9.04     0.88    147.     0.9027       2024 al   6.47
#        1.851     9.01     0.88    147.     0.9023       2024 al   6.47
#        1.850     9.05     0.93    156.     0.8972       2024 al   6.53
#        1.850     9.02     0.93    155.     0.8969       2024 al   6.53
#        1.850     9.05     0.94    157.     0.8961       2024 al   6.54
#        1.850     9.05     1.02    171.     0.8873       921-t al  6.43
#        1.850     9.03     1.02    170.     0.8870       921-t al  6.43
#        1.850     9.42     1.25    218.     0.8673       2024 al   6.92
#        1.850     9.06     1.25    210.     0.8620       2024 al   6.91
#        1.850     9.02     1.26    210.     0.8603       2024 al   6.91
#        1.850     9.39     1.34    233.     0.8573       921-t al  6.86
#        1.850     9.36     1.34    232.     0.8568       921-t al  6.86
#        1.850     9.96     1.75    322.     0.8243       2024 al   7.55
#        1.850     9.94     1.75    322.     0.8239       2024 al   7.55
#        1.851    10.00     1.76    326.     0.8240       2024 al   7.56
#        1.851     9.98     1.76    325.     0.8236       2024 al   7.56
#        1.851     9.97     1.76    325.     0.8235       2024 al   7.56
#        1.850    10.01     1.77    328.     0.8232       921-t al  7.43
#        1.850     9.97     1.78    328.     0.8215       921-t al  7.43
#        1.850     9.97     1.80    332.     0.8195       2024 al   7.60
#        1.850    10.01     1.84    341.     0.8162       921-t al  7.52
#        1.850     9.99     1.85    342.     0.8148       921-t al  7.52
#        1.850    10.58     2.21    433.     0.7911       2024 al   8.12
#        1.851    10.60     2.27    445.     0.7858       2024 al   8.19
#        1.851    10.98     2.62    532.     0.7614       2024 al   8.61
#        1.851    10.96     2.63    534.     0.7600       2024 al   8.61
#        1.853    11.07     2.78    570.     0.7489       921-t al  8.72
#        1.850    11.41     2.92    616.     0.7441       2024 al   8.98
#        1.851    11.36     2.93    616.     0.7421       2024 al   8.99
#        1.851    11.29     2.94    614.     0.7396       2024 al   8.99
#        1.855    11.42     3.16    669.     0.7233       2024 al   9.24
#        1.851    11.84     3.38    741.     0.7145       921-t al  9.47
#        1.851    11.78     3.39    739.     0.7122       921-t al  9.47
#        1.835    11.86     3.44    749.     0.7099       921-t al  9.54
#        1.851    11.98     3.54    785.     0.7045       2024 al   9.72
#        1.851    11.99     3.54    786.     0.7048       2024 al   9.72
#        1.851    12.08     3.72    832.     0.6921       921-t al  9.88
#        1.851    12.27     3.72    845.     0.6968       2024 al   9.94
#        1.851    12.31     3.74    852.     0.6962       2024 al   9.96
#        1.851    12.35     3.87    885.     0.6866       2024 al  10.11

#    Us = 7.998 + 1.124*Up km/sec
#    sigma Us =  0.137   km/sec



#    comments:

#    1) source: mcqueen, r.g., marsh, s.p., taylor, j.w., fritz, j.m.,
#               and carter, w.j.
#               the equation of state of solids from shock wave studies,
#               high velocity impact phenomena, kinslow (ed.) (academic
#               press, new york, 1970) chapter vii
#    2)  experimental technique: b
#        data reduction technique: b
#    3)  v0i from wyckoff, crystal structures (interscience publishers, n.y.
#        (1963) v1
#    4)  v(dp/de) = 1.16
#    5)  oxygen content probably small.  samples were sintered.
#    6) hugoniot elastic limit 40. kbar (c-axis), 4. kbar. basal plane
